id,prompt,A,B,C,D,E,answer,prompt_clean,A_clean,B_clean,C_clean,D_clean,E_clean,prompt_char_len,prompt_word_len,A_char_len,A_word_len,B_char_len,B_word_len,C_char_len,C_word_len,D_char_len,D_word_len,E_char_len,E_word_len
1615,Choose the correct answer: What is the role of CYCLOIDEA genes in the evolution of bilateral symmetry? carefully.,CYCLOIDEA genes are responsible for the selection of symmetry in the evolution of animals.,"CYCLOIDEA genes are responsible for the evolution of specialized pollinators in plants, which in turn led to the transition of radially symmetrical flowers to bilaterally symmetrical flowers.","CYCLOIDEA genes are responsible for the expression of dorsal petals in Antirrhinum majus, which control their size and shape.","CYCLOIDEA genes are responsible for the expression of transcription factors that control the expression of other genes, allowing their expression to influence developmental pathways relating to symmetry.",CYCLOIDEA genes are responsible for mutations that cause a reversion to radial symmetry.,D,choose correct answer role cycloidea gene evolution bilateral symmetry carefully,cycloidea gene responsible selection symmetry evolution animal,cycloidea gene responsible evolution specialized pollinator plant turn led transition radially symmetrical flower bilaterally symmetrical flower,cycloidea gene responsible expression dorsal petal antirrhinum majus control size shape,cycloidea gene responsible expression transcription factor control expression gene allowing expression influence developmental pathway relating symmetry,cycloidea gene responsible mutation cause reversion radial symmetry,113,18,90,14,191,27,125,19,203,27,88,13
1616,Pick the best possible answer: What is a planetary structure? among the listed options.,A framework of planets that are all located in the same solar framework.,A structure of planets that are all the same size and shape.,Any set of gravitationally bound non-stellar objects in or out of orbit around a star or star mechanism.,A mechanism of planets that are all located in the same galaxy.,A framework of planets that are all made of gas.,C,pick best possible answer planetary structure among listed option,framework planet located solar framework,structure planet size shape,set gravitationally bound non stellar object orbit around star star mechanism,mechanism planet located galaxy,framework planet made gas,87,14,72,13,60,12,104,18,63,12,48,10
1617,Choose the correct answer: What is resistivity? among the listed options.,Resistivity is an extrinsic property of a material that describes how difficult it is to make electrical current flow through it. It is measured in ohms and is dependent on the material's shape and size.,Resistivity is a measure of the resistance of a material to electrical current flow. It is measured in ohm-meters and is dependent on the material's shape and size.,Resistivity is an intrinsic property of a material that describes how difficult it is to make electrical current flow through it. It is measured in ohm-meters and is independent of the material's shape and size.,Resistivity is a measure of the electrical current that can flow through a material. It is measured in ohms and is dependent on the material's shape and size.,Resistivity is a measure of the electrical current that can flow through a material. It is measured in ohm-meters and is independent of the material's shape and size.,C,choose correct answer resistivity among listed option,resistivity extrinsic property material describes difficult make electrical current flow measured ohm dependent material shape size,resistivity measure resistance material electrical current flow measured ohm meter dependent material shape size,resistivity intrinsic property material describes difficult make electrical current flow measured ohm meter independent material shape size,resistivity measure electrical current flow material measured ohm dependent material shape size,resistivity measure electrical current flow material measured ohm meter independent material shape size,73,11,203,35,164,28,211,35,158,28,166,28
1618,Identify the correct statement: What is explicit symmetry breaking in theoretical physics? from the following choices.,"Explicit symmetry breaking is the breaking of a symmetry of a framework by terms in its defining equations of motion that do not respect the symmetry, always in situations where these symmetry-breaking terms are large, so that the symmetry is not respected by the framework.","Explicit symmetry breaking is the breaking of a symmetry of a concept by terms in its defining equations of motion that do not respect the symmetry, usually in situations where these symmetry-breaking terms are small, so that the symmetry is approximately respected by the concept.","Explicit symmetry breaking is the breaking of a symmetry of a principle by terms in its defining equations of motion that respect the symmetry, always in situations where these symmetry-breaking terms are small, so that the symmetry is approximately respected by the principle.","Explicit symmetry breaking is the breaking of a symmetry of a concept by terms in its defining equations of motion that respect the symmetry, always in situations where these symmetry-breaking terms are large, so that the symmetry is not respected by the concept.","Explicit symmetry breaking is the breaking of a symmetry of a framework by terms in its defining equations of motion that respect the symmetry, usually in situations where these symmetry-breaking terms are large, so that the symmetry is not respected by the framework.",B,identify correct statement explicit symmetry breaking theoretical physic following choice,explicit symmetry breaking breaking symmetry framework term defining equation motion respect symmetry always situation symmetry breaking term large symmetry respected framework,explicit symmetry breaking breaking symmetry concept term defining equation motion respect symmetry usually situation symmetry breaking term small symmetry approximately respected concept,explicit symmetry breaking breaking symmetry principle term defining equation motion respect symmetry always situation symmetry breaking term small symmetry approximately respected principle,explicit symmetry breaking breaking symmetry concept term defining equation motion respect symmetry always situation symmetry breaking term large symmetry respected concept,explicit symmetry breaking breaking symmetry framework term defining equation motion respect symmetry usually situation symmetry breaking term large symmetry respected framework,118,16,274,45,281,45,277,43,263,43,268,43
1619,Select the most accurate option: What was the aim of the Gravity Probe B (GP-B) mission? among the listed options.,To prove that pressure contributes equally to spacetime curvature as does mass-energy.,"To measure spacetime curvature near Earth, with particular emphasis on gravitomagnetism.",To measure the distribution of Fe and Al on the Moon's surface.,"To confirm the relatively large geodetic effect due to simple spacetime curvature, and is also known as de Sitter precession.",To measure the discrepancy between active and passive mass to about 10−12.,B,select accurate option aim gravity probe gp mission among listed option,prove pressure contributes equally spacetime curvature mass energy,measure spacetime curvature near earth particular emphasis gravitomagnetism,measure distribution fe al moon surface,confirm relatively large geodetic effect due simple spacetime curvature also known de sitter precession,measure discrepancy active passive mass,114,20,86,12,88,11,63,12,125,20,74,12
1620,Determine the correct option: What did Arthur Eddington discover about two of Einstein's types of gravitational waves?,"Arthur Eddington showed that two of Einstein's types of waves were artifacts of the coordinate mechanism he used, and could only be made to propagate at the speed of gravity by choosing appropriate coordinates.","Arthur Eddington showed that two of Einstein's types of waves were artifacts of the coordinate structure he used, and could only be made to propagate at the speed of sound by choosing appropriate coordinates.","Arthur Eddington showed that two of Einstein's types of waves were artifacts of the coordinate framework he used, and could be made to propagate at any speed by choosing appropriate coordinates.","Arthur Eddington showed that two of Einstein's types of waves were artifacts of the coordinate mechanism he used, and could not be made to propagate at any speed by choosing appropriate coordinates.","Arthur Eddington showed that two of Einstein's types of waves were artifacts of the coordinate structure he used, and could only be made to propagate at the speed of light by choosing appropriate coordinates.",C,determine correct option arthur eddington discover two einstein type gravitational wave,arthur eddington showed two einstein type wave artifact coordinate mechanism used could made propagate speed gravity choosing appropriate coordinate,arthur eddington showed two einstein type wave artifact coordinate structure used could made propagate speed sound choosing appropriate coordinate,arthur eddington showed two einstein type wave artifact coordinate framework used could made propagate speed choosing appropriate coordinate,arthur eddington showed two einstein type wave artifact coordinate mechanism used could made propagate speed choosing appropriate coordinate,arthur eddington showed two einstein type wave artifact coordinate structure used could made propagate speed light choosing appropriate coordinate,118,17,210,34,208,34,194,31,198,32,208,34
1621,What is linear frame dragging?,Linear frame dragging is the effect of the general principle of relativity applied to the mass of a body when other masses are placed nearby. It is a tiny effect that is difficult to confirm experimentally and often omitted from articles on frame-dragging.,"Linear frame dragging is the effect of the general principle of relativity applied to rotational momentum, which is a large effect that is easily confirmed experimentally and often discussed in articles on frame-dragging.","Linear frame dragging is the effect of the general principle of relativity applied to rotational momentum, which is similarly inevitable to the linear effect. It is a tiny effect that is difficult to confirm experimentally and often omitted from articles on frame-dragging.","Linear frame dragging is the effect of the general principle of relativity applied to linear momentum, which is similarly inevitable to the rotational effect. It is a tiny effect that is difficult to confirm experimentally and often omitted from articles on frame-dragging.","Linear frame dragging is the effect of the general principle of relativity applied to linear momentum, which is a large effect that is easily confirmed experimentally and often discussed in articles on frame-dragging.",D,linear frame dragging,linear frame dragging effect general principle relativity applied mass body mass placed nearby tiny effect difficult confirm experimentally often omitted article frame dragging,linear frame dragging effect general principle relativity applied rotational momentum large effect easily confirmed experimentally often discussed article frame dragging,linear frame dragging effect general principle relativity applied rotational momentum similarly inevitable linear effect tiny effect difficult confirm experimentally often omitted article frame dragging,linear frame dragging effect general principle relativity applied linear momentum similarly inevitable rotational effect tiny effect difficult confirm experimentally often omitted article frame dragging,linear frame dragging effect general principle relativity applied linear momentum large effect easily confirmed experimentally often discussed article frame dragging,30,5,256,43,221,33,273,42,273,42,217,33
1622,Choose the correct answer: What are the four qualitative levels of crystallinity described by geologists?,"Holocrystalline, hypocrystalline, hypercrystalline, and holohyaline","Holocrystalline, hypocrystalline, hypohyaline, and holohyaline","Holocrystalline, hypohyaline, hypercrystalline, and holohyaline","Holocrystalline, hypocrystalline, hypercrystalline, and hyperhyaline","Holocrystalline, hypocrystalline, hypohyaline, and hyperhyaline",B,choose correct answer four qualitative level crystallinity described geologist,holocrystalline hypocrystalline hypercrystalline holohyaline,holocrystalline hypocrystalline hypohyaline holohyaline,holocrystalline hypohyaline hypercrystalline holohyaline,holocrystalline hypocrystalline hypercrystalline hyperhyaline,holocrystalline hypocrystalline hypohyaline hyperhyaline,105,15,67,5,62,5,63,5,68,5,63,5
1623,What is a regular polytope?,A regular polytope is a geometric shape whose symmetry group is transitive on its diagonals.,A regular polytope is a geometric shape whose symmetry group is transitive on its vertices.,A regular polytope is a geometric shape whose symmetry group is transitive on its flags.,A regular polytope is a geometric shape whose symmetry group is transitive on its edges.,A regular polytope is a geometric shape whose symmetry group is transitive on its faces.,C,regular polytope,regular polytope geometric shape whose symmetry group transitive diagonal,regular polytope geometric shape whose symmetry group transitive vertex,regular polytope geometric shape whose symmetry group transitive flag,regular polytope geometric shape whose symmetry group transitive edge,regular polytope geometric shape whose symmetry group transitive face,27,5,92,15,91,15,88,15,88,15,88,15
1624,Which of the following is correct? Who was Giordano Bruno? among the listed options.,A German philosopher who supported the Keplerian framework that planets move in elliptical orbits around the Sun and believed that fixed stars are similar to the Sun but have different designs and are not subject to the dominion of One.,An English philosopher who supported the Ptolemaic framework that Earth is the center of the universe and believed that fixed stars are not similar to the Sun and do not have planets orbiting them.,A French philosopher who supported the Aristotelian concept that Earth is at the center of the universe and believed that fixed stars are similar to the Sun but do not have planets orbiting them.,An Italian philosopher who supported the Copernican concept that Earth and other planets orbit the Sun and believed that fixed stars are similar to the Sun and have planets orbiting them.,A Spanish philosopher who supported the Galilean principle that Earth and other planets orbit the Sun and believed that fixed stars are not similar to the Sun and do not have planets orbiting them.,D,following correct giordano bruno among listed option,german philosopher supported keplerian framework planet move elliptical orbit around sun believed fixed star similar sun different design subject dominion one,english philosopher supported ptolemaic framework earth center universe believed fixed star similar sun planet orbiting,french philosopher supported aristotelian concept earth center universe believed fixed star similar sun planet orbiting,italian philosopher supported copernican concept earth planet orbit sun believed fixed star similar sun planet orbiting,spanish philosopher supported galilean principle earth planet orbit sun believed fixed star similar sun planet orbiting,84,14,236,40,197,34,195,34,187,31,197,34
1625,Determine the correct option: What is X-ray pulsar-based navigation (XNAV)?,X-ray pulsar-based navigation (XNAV) is a navigation technique that uses the periodic X-ray signals emitted from pulsars to determine the location of a vehicle in the Earth's atmosphere.,"X-ray pulsar-based navigation (XNAV) is a navigation technique that uses the periodic radio signals emitted from pulsars to determine the location of a vehicle in deep space, such as a spacecraft.","X-ray pulsar-based navigation (XNAV) is a navigation technique that uses the periodic X-ray signals emitted from satellites to determine the location of a vehicle in deep space, such as a spacecraft.","X-ray pulsar-based navigation (XNAV) is a navigation technique that uses the periodic X-ray signals emitted from pulsars to determine the location of a vehicle in deep space, such as a spacecraft.","X-ray pulsar-based navigation (XNAV) is a navigation technique that uses the periodic radio signals emitted from satellites to determine the location of a vehicle in deep space, such as a spacecraft.",D,determine correct option ray pulsar based navigation xnav,ray pulsar based navigation xnav navigation technique us periodic ray signal emitted pulsar determine location vehicle earth atmosphere,ray pulsar based navigation xnav navigation technique us periodic radio signal emitted pulsar determine location vehicle deep space spacecraft,ray pulsar based navigation xnav navigation technique us periodic ray signal emitted satellite determine location vehicle deep space spacecraft,ray pulsar based navigation xnav navigation technique us periodic ray signal emitted pulsar determine location vehicle deep space spacecraft,ray pulsar based navigation xnav navigation technique us periodic radio signal emitted satellite determine location vehicle deep space spacecraft,75,10,186,28,196,31,199,31,196,31,199,31
1626,Identify the correct statement: What is the significance of the high degree of fatty-acyl disorder in the thylakoid membranes of plants? from the following choices.,The high degree of fatty-acyl disorder in the thylakoid membranes of plants is responsible for the low fluidity of membrane lipid fatty-acyl chains in the gel phase.,The high degree of fatty-acyl disorder in the thylakoid membranes of plants is responsible for the exposure of chloroplast thylakoid membranes to cold environmental temperatures.,The high degree of fatty-acyl disorder in the thylakoid membranes of plants allows for innate fluidity even at relatively low temperatures.,The high degree of fatty-acyl disorder in the thylakoid membranes of plants allows for a gel-to-liquid crystalline phase transition temperature to be determined by many techniques.,"The high degree of fatty-acyl disorder in the thylakoid membranes of plants restricts the movement of membrane proteins, thus hindering their physiological role.",C,identify correct statement significance high degree fatty acyl disorder thylakoid membrane plant following choice,high degree fatty acyl disorder thylakoid membrane plant responsible low fluidity membrane lipid fatty acyl chain gel phase,high degree fatty acyl disorder thylakoid membrane plant responsible exposure chloroplast thylakoid membrane cold environmental temperature,high degree fatty acyl disorder thylakoid membrane plant allows innate fluidity even relatively low temperature,high degree fatty acyl disorder thylakoid membrane plant allows gel liquid crystalline phase transition temperature determined many technique,high degree fatty acyl disorder thylakoid membrane plant restricts movement membrane protein thus hindering physiological role,164,25,165,27,178,25,139,21,180,26,161,23
1627,What was Isaac Newton's explanation for rectilinear propagation of light?,"Isaac Newton rejected the wave theory of light and proposed that light consists of corpuscles that are subject to a force acting parallel to the interface. In this model, the critical angle was the angle of incidence at which the normal velocity of the approaching corpuscle was just enough to reach the far side of the force field; at more oblique incidence, the corpuscle would be turned back.","Isaac Newton rejected the wave theory of light and proposed that light consists of corpuscles that are subject to a force acting perpendicular to the interface. In this model, the critical angle was the angle of incidence at which the normal velocity of the approaching corpuscle was just enough to reach the near side of the force field; at more oblique incidence, the corpuscle would be turned back.","Isaac Newton accepted the wave theory of light and proposed that light consists of transverse waves that are subject to a force acting perpendicular to the interface. In this model, the critical angle was the angle of incidence at which the normal velocity of the approaching wave was just enough to reach the far side of the force field; at more oblique incidence, the wave would be turned back.","Isaac Newton rejected the wave theory of light and proposed that light consists of corpuscles that are subject to a force acting perpendicular to the interface. In this model, the critical angle was the angle of incidence at which the normal velocity of the approaching corpuscle was just enough to reach the far side of the force field; at more oblique incidence, the corpuscle would be turned back.","Isaac Newton accepted the wave theory of light and proposed that light consists of longitudinal waves that are subject to a force acting perpendicular to the interface. In this model, the critical angle was the angle of incidence at which the normal velocity of the approaching wave was just enough to reach the far side of the force field; at more oblique incidence, the wave would be turned back.",D,isaac newton explanation rectilinear propagation light,isaac newton rejected wave theory light proposed light consists corpuscle subject force acting parallel interface model critical angle angle incidence normal velocity approaching corpuscle enough reach far side force field oblique incidence corpuscle would turned back,isaac newton rejected wave theory light proposed light consists corpuscle subject force acting perpendicular interface model critical angle angle incidence normal velocity approaching corpuscle enough reach near side force field oblique incidence corpuscle would turned back,isaac newton accepted wave theory light proposed light consists transverse wave subject force acting perpendicular interface model critical angle angle incidence normal velocity approaching wave enough reach far side force field oblique incidence wave would turned back,isaac newton rejected wave theory light proposed light consists corpuscle subject force acting perpendicular interface model critical angle angle incidence normal velocity approaching corpuscle enough reach far side force field oblique incidence corpuscle would turned back,isaac newton accepted wave theory light proposed light consists longitudinal wave subject force acting perpendicular interface model critical angle angle incidence normal velocity approaching wave enough reach far side force field oblique incidence wave would turned back,73,10,395,68,401,68,396,69,400,68,398,69
1628,Which of the following is correct? Who published the first framework that was able to encompass previously separate field theories to provide a unifying framework of electromagnetism? based on the given context.,Maxwell,Einstein,Galileo,Faraday,Newton,A,following correct published first framework able encompass previously separate field theory provide unifying framework electromagnetism based given context,maxwell,einstein,galileo,faraday,newton,211,32,7,1,8,1,7,1,7,1,6,1
1629,Pick the best possible answer: What is the role of CYCLOIDEA genes in the evolution of bilateral symmetry? carefully.,CYCLOIDEA genes are responsible for the selection of symmetry in the evolution of animals.,"CYCLOIDEA genes are responsible for the evolution of specialized pollinators in plants, which in turn led to the transition of radially symmetrical flowers to bilaterally symmetrical flowers.","CYCLOIDEA genes are responsible for the expression of dorsal petals in Antirrhinum majus, which control their size and shape.","CYCLOIDEA genes are responsible for the expression of transcription factors that control the expression of other genes, allowing their expression to influence developmental pathways relating to symmetry.",CYCLOIDEA genes are responsible for mutations that cause a reversion to radial symmetry.,D,pick best possible answer role cycloidea gene evolution bilateral symmetry carefully,cycloidea gene responsible selection symmetry evolution animal,cycloidea gene responsible evolution specialized pollinator plant turn led transition radially symmetrical flower bilaterally symmetrical flower,cycloidea gene responsible expression dorsal petal antirrhinum majus control size shape,cycloidea gene responsible expression transcription factor control expression gene allowing expression influence developmental pathway relating symmetry,cycloidea gene responsible mutation cause reversion radial symmetry,117,19,90,14,191,27,125,19,203,27,88,13
1630,Which of the following is correct? What is a magnetic monopole in particle physics? from the following choices.,A hypothetical elementary particle that is an isolated electric charge with both positive and negative poles.,A hypothetical elementary particle that is an isolated magnet with no magnetic poles.,"A hypothetical elementary particle that is an isolated electric charge with only one electric pole, either a positive pole or a negative pole.",A hypothetical elementary particle that is an isolated magnet with both north and south poles.,"A hypothetical elementary particle that is an isolated magnet with only one magnetic pole, either a north pole or a south pole.",E,following correct magnetic monopole particle physic following choice,hypothetical elementary particle isolated electric charge positive negative pole,hypothetical elementary particle isolated magnet magnetic pole,hypothetical elementary particle isolated electric charge one electric pole either positive pole negative pole,hypothetical elementary particle isolated magnet north south pole,hypothetical elementary particle isolated magnet one magnetic pole either north pole south pole,111,18,109,16,85,13,142,23,94,15,127,22
1631,Identify the correct statement: What is the application of Memristor? among the listed options.,"Memristor has applications in the production of electric cars, airplanes, and ships.","Memristor has applications in the production of food, clothing, and shelter.","Memristor has applications in the production of solar panels, wind turbines, and hydroelectric power plants.","Memristor has applications in programmable logic signal processing, Super-resolution imaging, physical neural networks, control frameworks, reconfigurable computing, in-memory computing, brain–computer interfaces and RFID.","Memristor has applications in optical fiber communication, satellite communication, and wireless communication.",D,identify correct statement application memristor among listed option,memristor application production electric car airplane ship,memristor application production food clothing shelter,memristor application production solar panel wind turbine hydroelectric power plant,memristor application programmable logic signal processing super resolution imaging physical neural network control framework reconfigurable computing memory computing brain computer interface rfid,memristor application optical fiber communication satellite communication wireless communication,95,14,84,12,76,11,108,15,222,23,111,12
1632,Which of the following is correct? What did Newton adopt after his correspondence with Hooke in 1679-1680? based on the given context.,The language of inward or centripetal force.,The language of gravitational force.,The language of outward or centrifugal force.,The language of tangential and radial displacements.,The language of electromagnetic force.,A,following correct newton adopt correspondence hooke based given context,language inward centripetal force,language gravitational force,language outward centrifugal force,language tangential radial displacement,language electromagnetic force,134,22,44,7,36,5,45,7,52,7,38,5
1633,Identify the correct statement: What did Newton's manuscripts of the 1660s show? from the following choices.,Newton learned about tangential motion and radially directed force or endeavour from Hooke's work.,Newton's manuscripts did not show any evidence of combining tangential motion with the effects of radially directed force or endeavour.,Newton combined tangential motion with the effects of radially directed force or endeavour and expressed the concept of linear inertia.,Newton's manuscripts showed that he learned about the inverse square law from Hooke's private papers.,"Newton's manuscripts showed that he was indebted to Descartes' work, published in 1644, for the concept of linear inertia.",C,identify correct statement newton manuscript 1660s show following choice,newton learned tangential motion radially directed force endeavour hooke work,newton manuscript show evidence combining tangential motion effect radially directed force endeavour,newton combined tangential motion effect radially directed force endeavour expressed concept linear inertia,newton manuscript showed learned inverse square law hooke private paper,newton manuscript showed indebted descartes work published concept linear inertia,108,16,98,14,135,20,135,20,101,15,122,19
1634,Which of the following is correct? What are some models that attempt to account for all observations without invoking supplemental non-baryonic matter? carefully.,"The Doppler effect, the photoelectric effect, or the Compton effect.","The Higgs boson, the W boson, or the Z boson.","Modified Newtonian dynamics, tensor–vector–scalar gravity, or entropic gravity.","The strong nuclear force, the weak nuclear force, or the electromagnetic force.","Kepler's laws, Newton's laws, or Einstein's concept of general relativity.",C,following correct model attempt account observation without invoking supplemental non baryonic matter carefully,doppler effect photoelectric effect compton effect,higgs boson boson boson,modified newtonian dynamic tensor vector scalar gravity entropic gravity,strong nuclear force weak nuclear force electromagnetic force,kepler law newton law einstein concept general relativity,162,23,68,10,45,10,79,8,79,12,74,10
1635,Identify the correct statement: What is the Landau-Lifshitz-Gilbert equation used for in physics? carefully.,"The Landau-Lifshitz-Gilbert equation is a differential equation used to describe the precessional motion of magnetization M in a liquid, and is commonly used in micromagnetics to model the effects of a magnetic field on ferromagnetic materials.","The Landau-Lifshitz-Gilbert equation is a differential equation used to describe the precessional motion of magnetization M in a solid, and is commonly used in astrophysics to model the effects of a magnetic field on celestial bodies.","The Landau-Lifshitz-Gilbert equation is a differential equation used to describe the precessional motion of magnetization M in a solid, and is commonly used in micromagnetics to model the effects of a magnetic field on ferromagnetic materials.","The Landau-Lifshitz-Gilbert equation is a differential equation used to describe the precessional motion of magnetization M in a solid, and is commonly used in macro-magnetics to model the effects of a magnetic field on ferromagnetic materials.","The Landau-Lifshitz-Gilbert equation is a differential equation used to describe the precessional motion of magnetization M in a liquid, and is commonly used in macro-magnetics to model the effects of a magnetic field on ferromagnetic materials.",C,identify correct statement landau lifshitz gilbert equation used physic carefully,landau lifshitz gilbert equation differential equation used describe precessional motion magnetization liquid commonly used micromagnetics model effect magnetic field ferromagnetic material,landau lifshitz gilbert equation differential equation used describe precessional motion magnetization solid commonly used astrophysics model effect magnetic field celestial body,landau lifshitz gilbert equation differential equation used describe precessional motion magnetization solid commonly used micromagnetics model effect magnetic field ferromagnetic material,landau lifshitz gilbert equation differential equation used describe precessional motion magnetization solid commonly used macro magnetics model effect magnetic field ferromagnetic material,landau lifshitz gilbert equation differential equation used describe precessional motion magnetization liquid commonly used macro magnetics model effect magnetic field ferromagnetic material,108,14,244,36,234,36,243,36,244,36,245,36
1636,Identify the correct statement: What is the application of Memristor? carefully.,"Memristor has applications in the production of electric cars, airplanes, and ships.","Memristor has applications in the production of food, clothing, and shelter.","Memristor has applications in the production of solar panels, wind turbines, and hydroelectric power plants.","Memristor has applications in programmable logic signal processing, Super-resolution imaging, physical neural networks, control mechanisms, reconfigurable computing, in-memory computing, brain–computer interfaces and RFID.","Memristor has applications in optical fiber communication, satellite communication, and wireless communication.",D,identify correct statement application memristor carefully,memristor application production electric car airplane ship,memristor application production food clothing shelter,memristor application production solar panel wind turbine hydroelectric power plant,memristor application programmable logic signal processing super resolution imaging physical neural network control mechanism reconfigurable computing memory computing brain computer interface rfid,memristor application optical fiber communication satellite communication wireless communication,80,11,84,12,76,11,108,15,222,23,111,12
1637,Identify the correct statement: What is a regular polytope? from the following choices.,A regular polytope is a geometric shape whose symmetry group is transitive on its diagonals.,A regular polytope is a geometric shape whose symmetry group is transitive on its vertices.,A regular polytope is a geometric shape whose symmetry group is transitive on its flags.,A regular polytope is a geometric shape whose symmetry group is transitive on its edges.,A regular polytope is a geometric shape whose symmetry group is transitive on its faces.,C,identify correct statement regular polytope following choice,regular polytope geometric shape whose symmetry group transitive diagonal,regular polytope geometric shape whose symmetry group transitive vertex,regular polytope geometric shape whose symmetry group transitive flag,regular polytope geometric shape whose symmetry group transitive edge,regular polytope geometric shape whose symmetry group transitive face,87,13,92,15,91,15,88,15,88,15,88,15
1638,Which of the following is correct? What is the role of the Higgs boson in the Standard Model? carefully.,The Higgs boson is responsible for giving mass to the photon and gluon in the Standard Model.,The Higgs boson has no role in the Standard Model.,The Higgs boson is responsible for giving mass to all the elementary particles in the Standard Model.,"The Higgs boson is responsible for giving mass to all the elementary particles, except the photon and gluon, in the Standard Model.",The Higgs boson is responsible for giving mass to all the composite particles in the Standard Model.,D,following correct role higgs boson standard model carefully,higgs boson responsible giving mass photon gluon standard model,higgs boson role standard model,higgs boson responsible giving mass elementary particle standard model,higgs boson responsible giving mass elementary particle except photon gluon standard model,higgs boson responsible giving mass composite particle standard model,104,19,93,17,50,10,101,17,131,22,100,17
1639,Pick the best possible answer: What is the reason for the formation of stars exclusively within molecular clouds? from the following choices.,The formation of stars occurs exclusively outside of molecular clouds.,"The low temperatures and high densities of molecular clouds cause the gravitational force to exceed the internal pressures that are acting ""outward"" to prevent a collapse.","The low temperatures and low densities of molecular clouds cause the gravitational force to be less than the internal pressures that are acting ""outward"" to prevent a collapse.","The high temperatures and low densities of molecular clouds cause the gravitational force to exceed the internal pressures that are acting ""outward"" to prevent a collapse.","The high temperatures and high densities of molecular clouds cause the gravitational force to be less than the internal pressures that are acting ""outward"" to prevent a collapse.",B,pick best possible answer reason formation star exclusively within molecular cloud following choice,formation star occurs exclusively outside molecular cloud,low temperature high density molecular cloud cause gravitational force exceed internal pressure acting outward prevent collapse,low temperature low density molecular cloud cause gravitational force less internal pressure acting outward prevent collapse,high temperature low density molecular cloud cause gravitational force exceed internal pressure acting outward prevent collapse,high temperature high density molecular cloud cause gravitational force less internal pressure acting outward prevent collapse,141,22,70,10,171,26,176,28,171,26,178,28
1640,Choose the correct answer: What is the relation between the three moment theorem and the bending moments at three successive supports of a continuous beam? based on the given context.,The three moment theorem expresses the relation between the deflection of two points on a beam relative to the point of intersection between tangent at those two points and the vertical through the first point.,"The three moment theorem is used to calculate the maximum allowable bending moment of a beam, which is determined by the weight distribution of each segment of the beam.","The three moment theorem describes the relationship between bending moments at three successive supports of a continuous beam, subject to a loading on two adjacent spans with or without settlement of the supports.","The three moment theorem is used to calculate the weight distribution of each segment of a beam, which is required to apply Mohr's theorem.","The three moment theorem is used to derive the change in slope of a deflection curve between two points of a beam, which is equal to the area of the M/EI diagram between those two points.",C,choose correct answer relation three moment theorem bending moment three successive support continuous beam based given context,three moment theorem express relation deflection two point beam relative point intersection tangent two point vertical first point,three moment theorem used calculate maximum allowable bending moment beam determined weight distribution segment beam,three moment theorem describes relationship bending moment three successive support continuous beam subject loading two adjacent span without settlement support,three moment theorem used calculate weight distribution segment beam required apply mohr theorem,three moment theorem used derive change slope deflection curve two point beam equal area ei diagram two point,183,30,210,35,169,29,213,33,139,24,187,36
1641,Choose the correct answer: What is the significance of the speed of light in vacuum? from the following choices.,The speed of light in vacuum is only relevant when measuring the one-way speed of light.,The speed of light in vacuum is only relevant when measuring the two-way speed of light.,The speed of light in vacuum is independent of the motion of the wave source and the observer's inertial frame of reference.,The speed of light in vacuum is dependent on the motion of the wave source and the observer's inertial frame of reference.,The speed of light in vacuum is only relevant when c appears explicitly in the units of measurement.,C,choose correct answer significance speed light vacuum following choice,speed light vacuum relevant measuring one way speed light,speed light vacuum relevant measuring two way speed light,speed light vacuum independent motion wave source observer inertial frame reference,speed light vacuum dependent motion wave source observer inertial frame reference,speed light vacuum relevant appears explicitly unit measurement,112,19,88,16,88,16,124,22,122,22,100,18
1642,Choose the correct answer: What is the application of Memristor? among the listed options.,"Memristor has applications in the production of electric cars, airplanes, and ships.","Memristor has applications in the production of food, clothing, and shelter.","Memristor has applications in the production of solar panels, wind turbines, and hydroelectric power plants.","Memristor has applications in programmable logic signal processing, Super-resolution imaging, physical neural networks, control structures, reconfigurable computing, in-memory computing, brain–computer interfaces and RFID.","Memristor has applications in optical fiber communication, satellite communication, and wireless communication.",D,choose correct answer application memristor among listed option,memristor application production electric car airplane ship,memristor application production food clothing shelter,memristor application production solar panel wind turbine hydroelectric power plant,memristor application programmable logic signal processing super resolution imaging physical neural network control structure reconfigurable computing memory computing brain computer interface rfid,memristor application optical fiber communication satellite communication wireless communication,90,14,84,12,76,11,108,15,222,23,111,12
